Timestamp	T2P_EC	T2P_ED
1359944100.725000	223.872114	3890.451450
1359944100.733000	223.872114	3890.451450
1359944100.733000	223.872114	3890.451450
1359944100.765000	162.181010	1819.700859
1359944100.765000	162.181010	1819.700859
1359944100.766000	162.181010	1819.700859
1359944100.766000	162.181010	1819.700859
1359944100.768000	162.181010	1819.700859
1359944100.768000	162.181010	1819.700859
1359944100.785000	162.181010	1819.700859
1359944100.785000	162.181010	1819.700859
1359944100.925000	162.181010	1819.700859
1359944100.963000	112.201845	2238.721139
1359944100.963000	112.201845	2238.721139
1359944100.986000	112.201845	2238.721139
1359944100.986000	112.201845	2238.721139
1359944100.988000	112.201845	2238.721139
1359944100.988000	112.201845	2238.721139
1359944100.990000	112.201845	2238.721139
1359944100.990000	112.201845	2238.721139
1359944101.045000	112.201845	2238.721139
1359944101.045000	112.201845	2238.721139
1359944101.045000	112.201845	2238.721139
1359944101.046000	112.201845	2238.721139
1359944101.046000	112.201845	2238.721139
1359944101.048000	112.201845	2238.721139
1359944101.048000	112.201845	2238.721139
1359944101.048000	112.201845	2238.721139
1359944101.048000	112.201845	2238.721139
1359944101.049000	112.201845	2238.721139
1359944101.049000	112.201845	2238.721139
1359944101.049000	112.201845	2238.721139
1359944101.049000	112.201845	2238.721139
1359944101.049000	112.201845	2238.721139
1359944101.049000	112.201845	2238.721139
1359944101.105000	112.201845	2238.721139
1359944101.105000	112.201845	2238.721139
1359944101.105000	112.201845	2238.721139
1359944101.155000	112.201845	3890.451450
1359944101.156000	112.201845	3890.451450
1359944101.156000	112.201845	3890.451450
1359944101.165000	112.201845	3890.451450
1359944101.166000	112.201845	3890.451450
1359944101.166000	112.201845	3890.451450
1359944101.168000	112.201845	3890.451450
1359944101.168000	112.201845	3890.451450
1359944101.175000	112.201845	3890.451450
1359944101.175000	112.201845	3890.451450
1359944101.175000	112.201845	3890.451450
1359944101.175000	112.201845	3890.451450
1359944101.178000	112.201845	3890.451450
1359944101.178000	112.201845	3890.451450
1359944101.178000	112.201845	3890.451450
1359944101.178000	112.201845	3890.451450
1359944101.178000	112.201845	3890.451450
1359944101.178000	112.201845	3890.451450
1359944101.179000	112.201845	3890.451450
1359944101.179000	112.201845	3890.451450
1359944101.185000	112.201845	3890.451450
1359944101.185000	112.201845	3890.451450
1359944101.185000	112.201845	3890.451450
1359944101.188000	112.201845	3890.451450
1359944101.188000	112.201845	3890.451450
1359944101.188000	112.201845	3890.451450
1359944101.188000	112.201845	3890.451450
1359944101.189000	112.201845	3890.451450
1359944101.189000	112.201845	3890.451450
1359944101.196000	112.201845	3890.451450
1359944101.196000	112.201845	3890.451450
1359944101.200000	112.201845	3890.451450
1359944101.200000	112.201845	3890.451450
1359944101.200000	112.201845	3890.451450
1359944101.200000	112.201845	3890.451450
1359944101.200000	112.201845	3890.451450
1359944101.200000	112.201845	3890.451450
1359944101.200000	112.201845	3890.451450
1359944101.200000	112.201845	3890.451450
1359944101.200000	112.201845	3890.451450
1359944101.200000	112.201845	3890.451450
1359944101.200000	112.201845	3890.451450
1359944101.200000	112.201845	3890.451450
1359944101.200000	112.201845	3890.451450
1359944101.200000	112.201845	3890.451450
1359944101.201000	112.201845	3890.451450
1359944101.201000	112.201845	3890.451450
1359944101.203000	112.201845	3890.451450
1359944101.203000	112.201845	3890.451450
1359944101.235000	112.201845	3890.451450
1359944101.235000	112.201845	3890.451450
1359944101.235000	112.201845	3890.451450
1359944101.245000	112.201845	3890.451450
1359944101.245000	112.201845	3890.451450
1359944101.265000	112.201845	3890.451450
1359944101.268000	112.201845	3890.451450
1359944101.268000	112.201845	3890.451450
1359944101.268000	112.201845	3890.451450
1359944101.268000	112.201845	3890.451450
1359944101.268000	112.201845	3890.451450
1359944101.268000	112.201845	3890.451450
1359944101.295000	112.201845	3890.451450
1359944101.298000	112.201845	3890.451450
1359944101.298000	112.201845	3890.451450
1359944101.298000	112.201845	3890.451450
1359944101.298000	112.201845	3890.451450
1359944101.325000	112.201845	3890.451450
1359944101.334000	478.630092	56234.132519
1359944101.354000	478.630092	56234.132519
1359944101.375000	478.630092	56234.132519
1359944101.375000	478.630092	56234.132519
1359944101.485000	478.630092	56234.132519
1359944101.545000	75.857758	426.579519
1359944101.546000	75.857758	426.579519
1359944101.546000	75.857758	426.579519
1359944101.709000	75.857758	426.579519
1359944101.709000	75.857758	426.579519
1359944101.711000	75.857758	426.579519
1359944101.711000	75.857758	426.579519
1359944101.711000	75.857758	426.579519
1359944101.711000	75.857758	426.579519
1359944101.713000	75.857758	426.579519
1359944101.713000	75.857758	426.579519
1359944101.713000	75.857758	426.579519
1359944101.713000	75.857758	426.579519
1359944101.714000	75.857758	426.579519
1359944101.714000	75.857758	426.579519
1359944101.715000	75.857758	426.579519
1359944101.715000	75.857758	426.579519
1359944101.715000	75.857758	426.579519
1359944101.715000	75.857758	426.579519
1359944101.715000	75.857758	426.579519
1359944101.715000	75.857758	426.579519
1359944101.715000	75.857758	426.579519
1359944101.715000	75.857758	426.579519
1359944101.715000	75.857758	426.579519
1359944101.715000	75.857758	426.579519
1359944101.715000	75.857758	426.579519
1359944101.715000	75.857758	426.579519
1359944101.715000	75.857758	426.579519
1359944101.715000	75.857758	426.579519
1359944101.775000	138.038426	8709.635900
1359944101.778000	138.038426	8709.635900
1359944101.778000	138.038426	8709.635900
1359944101.778000	138.038426	8709.635900
1359944101.778000	138.038426	8709.635900
1359944101.805000	138.038426	8709.635900
1359944101.835000	138.038426	8709.635900
1359944101.855000	138.038426	8709.635900
1359944101.864000	138.038426	8709.635900
1359944101.885000	138.038426	8709.635900
1359944101.885000	138.038426	8709.635900
1359944101.985000	363.078055	47863.009232
1359944101.986000	363.078055	47863.009232
1359944101.986000	363.078055	47863.009232
1359944102.153000	25.118864	275.422870
1359944102.153000	25.118864	275.422870
1359944102.156000	25.118864	275.422870
1359944102.156000	25.118864	275.422870
1359944102.156000	25.118864	275.422870
1359944102.156000	25.118864	275.422870
1359944102.156000	25.118864	275.422870
1359944102.156000	25.118864	275.422870
1359944102.156000	25.118864	275.422870
1359944102.158000	25.118864	275.422870
1359944102.158000	25.118864	275.422870
1359944102.158000	25.118864	275.422870
1359944102.158000	25.118864	275.422870
1359944102.158000	25.118864	275.422870
1359944102.158000	25.118864	275.422870
1359944102.158000	25.118864	275.422870
1359944102.158000	25.118864	275.422870
1359944102.159000	25.118864	275.422870
1359944102.159000	25.118864	275.422870
1359944102.159000	25.118864	275.422870
1359944102.159000	25.118864	275.422870
1359944102.159000	25.118864	275.422870
1359944102.159000	25.118864	275.422870
1359944102.160000	25.118864	275.422870
1359944102.160000	25.118864	275.422870
1359944102.160000	25.118864	275.422870
1359944102.160000	25.118864	275.422870
1359944102.160000	25.118864	275.422870
1359944102.225000	25.118864	275.422870
1359944102.226000	25.118864	275.422870
1359944102.226000	25.118864	275.422870
1359944102.255000	25.118864	275.422870
1359944102.285000	25.118864	275.422870
1359944102.318000	25.118864	275.422870
1359944102.319000	25.118864	275.422870
1359944102.571000	112.201845	707.945784
1359944102.571000	112.201845	707.945784
1359944102.573000	112.201845	707.945784
1359944102.574000	112.201845	707.945784
1359944102.574000	112.201845	707.945784
1359944102.575000	112.201845	707.945784
1359944102.575000	112.201845	707.945784
1359944102.575000	112.201845	707.945784
1359944102.575000	112.201845	707.945784
1359944102.575000	112.201845	707.945784
1359944102.575000	112.201845	707.945784
1359944102.575000	112.201845	707.945784
1359944102.575000	112.201845	707.945784
1359944102.575000	112.201845	707.945784
1359944102.645000	112.201845	707.945784
1359944102.646000	112.201845	707.945784
1359944102.646000	112.201845	707.945784
1359944102.674000	112.201845	707.945784
1359944102.695000	112.201845	707.945784
1359944102.705000	112.201845	707.945784
1359944114.029000	25.118864	138.038426
1359945001.130000	22.387211	67.608298
1359945001.130000	22.387211	67.608298
1359945001.828000	22.387211	67.608298
1359945001.830000	22.387211	67.608298
1359945001.830000	22.387211	67.608298
1359945001.831000	22.387211	67.608298
1359945001.831000	22.387211	67.608298
1359945002.089000	22.387211	67.608298
1359945002.689000	22.387211	67.608298
1359945008.729000	22.387211	67.608298
1359945013.240000	29.512092	45.708819
1359945013.240000	29.512092	45.708819
1359945014.509000	50.118723	75.857758
1359945014.510000	50.118723	75.857758
1359945014.510000	50.118723	75.857758
1359946695.406000	53.703180	83.176377
1359946695.406000	53.703180	83.176377
1359946696.138000	53.703180	83.176377
1359946696.141000	53.703180	83.176377
1359946696.141000	53.703180	83.176377
1359946800.009000	53.703180	83.176377
1359946800.009000	53.703180	83.176377
1359946800.748000	53.703180	83.176377
1359946800.750000	53.703180	83.176377
1359946800.750000	53.703180	83.176377
1359946800.753000	53.703180	83.176377
1359946800.753000	53.703180	83.176377
1359946801.008000	53.703180	83.176377
1359946801.608000	53.703180	83.176377
1359946824.624000	53.703180	83.176377
1359946824.634000	53.703180	83.176377
1359946824.635000	53.703180	83.176377
1359946824.635000	53.703180	83.176377
1359946824.636000	53.703180	83.176377
1359946824.636000	53.703180	83.176377
1359946824.644000	53.703180	83.176377
1359946824.644000	53.703180	83.176377
1359946824.645000	53.703180	83.176377
1359946824.645000	53.703180	83.176377
1359946824.645000	53.703180	83.176377
1359946824.645000	53.703180	83.176377
1359946824.654000	53.703180	83.176377
1359946824.655000	53.703180	83.176377
1359946824.658000	53.703180	83.176377
1359946824.658000	53.703180	83.176377
1359946824.658000	53.703180	83.176377
1359946824.658000	53.703180	83.176377
1359946824.664000	53.703180	83.176377
1359946824.664000	53.703180	83.176377
1359946824.665000	53.703180	83.176377
1359946824.665000	53.703180	83.176377
1359946824.666000	53.703180	83.176377
1359946824.666000	53.703180	83.176377
1359946824.675000	53.703180	83.176377
1359946824.675000	53.703180	83.176377
1359946824.678000	53.703180	83.176377
1359946824.678000	53.703180	83.176377
1359946824.679000	53.703180	83.176377
1359946824.679000	53.703180	83.176377
1359946824.784000	91.201084	42.657952
1359946824.785000	91.201084	42.657952
1359946824.785000	91.201084	42.657952
1359946824.900000	269.153480	489.778819
1359946824.900000	269.153480	489.778819
1359946825.064000	269.153480	489.778819
1359946829.798000	44.668359	70.794578
1359946829.811000	44.668359	70.794578
1359946829.811000	44.668359	70.794578
1359946830.118000	44.668359	70.794578
1359946830.120000	44.668359	70.794578
1359946830.120000	44.668359	70.794578
1359946830.121000	44.668359	70.794578
1359946830.121000	44.668359	70.794578
1359946830.378000	44.668359	70.794578
1359946831.058000	44.668359	70.794578
1359946837.338000	44.668359	70.794578
